,ID,date,promotion,match_fixture,meltzer_rating,match_type,rating,votes
155,14,11.08.2019,New Japan Pro Wrestling,Hirooki Goto vs. Shingo Takagi,****3/4,Singles,8.92,101
156,16,11.08.2019,New Japan Pro Wrestling,Jay White vs. Tetsuya Naito,****1/4,Singles,8.01,96
157,18,11.08.2019,World Wrestling Entertainment,Brock Lesnar vs. Seth Rollins,****1/4,Singles,7.80,129
158,20,11.08.2019,World Wrestling Entertainment,AJ Styles vs. Ricochet,***,Singles,6.59,84
159,22,10.08.2019,New Japan Pro Wrestling,EVIL vs. Lance Archer,***3/4,Singles,6.86,72
160,24,10.08.2019,New Japan Pro Wrestling,Hiroshi Tanahashi vs. Will Ospreay,****3/4,Singles,9.15,131
161,26,10.08.2019,World Wrestling Entertainment,Angelo Dawkins & Montez Ford vs. Bobby Fish & Kyle O'Reilly,***3/4,Tag Team,7.67,134
162,28,10.08.2019,World Wrestling Entertainment,Pete Dunne vs. Roderick Strong vs. Velveteen Dream,***1/2,Triple Threat,8.34,142
163,30,09.08.2019,House Of Glory,Isiah Kassidy & Marq Quen vs. Matt Jackson & Nick Jackson,,Tag Team, , 
164,32,09.08.2019,Ring Of Honor,Jay Briscoe & Mark Briscoe vs. Tama Tonga & Tanga Loa,****,Ladder War,8.29,23
165,34,08.08.2019,New Japan Pro Wrestling,Shingo Takagi vs. Tomohiro Ishii,*****1/2,Singles,9.62,144
166,36,08.08.2019,New Japan Pro Wrestling,Hirooki Goto vs. Jon Moxley,***1/2,Singles,6.22,53
167,38,07.08.2019,New Japan Pro Wrestling,Kota Ibushi vs. Zack Sabre Jr.,****1/2,Singles,8.18,84
168,40,07.08.2019,New Japan Pro Wrestling,Lance Archer vs. SANADA,***1/2,Singles,6.36,66
169,42,05.08.2019,Consejo Mundial De Lucha Libre,Dragon Lee   vs. Volador Jr.,****,Best Two Out Of Three Falls, , 
170,44,05.08.2019,World Wrestling Entertainment,Andrade vs. Rey Mysterio,***3/4,Singles,7.23,39
171,46,04.08.2019,New Japan Pro Wrestling,Tomohiro Ishii vs. Toru Yano,***3/4,Singles,7.08,105
172,48,04.08.2019,New Japan Pro Wrestling,Shingo Takagi vs. Tetsuya Naito,*****,Singles,9.59,161
